call_id,source_phone,target_phone,type,timestamp,duration_seconds,cell_tower,source_record_id
CDR-007-0001,9820456712,9807027004,VOICE_OUT,2024-10-08T10:08:00Z,120,TOWER-007-01,CDR-DUMP-007
CDR-007-0002,+919811007881,9820456712,VOICE_IN,2024-10-08T11:08:00Z,210,TOWER-007-01,CDR-DUMP-007
CDR-007-0003,9820456712,+919810907711,VOICE_OUT,2024-10-08T14:12:00Z,210,TOWER-007-01,CDR-DUMP-007
CDR-007-0004,9807027004,9820456712,VOICE_IN,2024-10-08T14:31:00Z,240,TOWER-007-01,CDR-DUMP-007
CDR-007-0005,9820456712,+919818007451,VOICE_OUT,2024-10-08T16:19:00Z,60,TOWER-007-01,CDR-DUMP-007
CDR-007-0006,9820456712,+919910007221,VOICE_OUT,2024-10-08T20:15:00Z,140,TOWER-007-01,CDR-DUMP-007
CDR-007-0007,9820456712,9820456712,VOICE_OUT,2024-10-08T22:42:00Z,185,TOWER-007-01,CDR-DUMP-007
CDR-007-0008,VK-JIO-OTP,9820456712,SMS_IN,2024-10-09T05:52:00Z,0,TOWER-007-01,CDR-DUMP-007
CDR-007-0009,+919910007221,9820456712,VOICE_IN,2024-10-09T13:17:00Z,140,TOWER-007-01,CDR-DUMP-007
CDR-007-0010,9807027004,9820456712,VOICE_IN,2024-10-09T13:34:00Z,120,TOWER-007-01,CDR-DUMP-007
CDR-007-0011,+919810907711,9820456712,VOICE_IN,2024-10-09T13:51:00Z,60,TOWER-007-01,CDR-DUMP-007
CDR-007-0012,9820456712,+919811007881,VOICE_OUT,2024-10-09T14:05:00Z,60,TOWER-007-01,CDR-DUMP-007
CDR-007-0013,9807027004,9820456712,VOICE_IN,2024-10-09T16:02:00Z,240,TOWER-007-01,CDR-DUMP-007
CDR-007-0014,+919818007451,9820456712,VOICE_IN,2024-10-09T19:56:00Z,210,TOWER-007-01,CDR-DUMP-007
CDR-007-0015,VK-JIO-OTP,9820456712,SMS_IN,2024-10-09T21:29:00Z,0,TOWER-007-01,CDR-DUMP-007
CDR-007-0016,9820456712,9820456712,VOICE_OUT,2024-10-09T22:44:00Z,185,TOWER-007-01,CDR-DUMP-007
CDR-007-0017,9820456712,9807027004,MISSED,2024-10-10T10:26:00Z,0,TOWER-007-01,CDR-DUMP-007
CDR-007-0018,+919810907711,9820456712,VOICE_IN,2024-10-10T10:45:00Z,60,TOWER-007-01,CDR-DUMP-007
CDR-007-0019,+919910007221,9820456712,VOICE_IN,2024-10-10T14:34:00Z,60,TOWER-007-01,CDR-DUMP-007
CDR-007-0020,9807027004,9820456712,VOICE_IN,2024-10-10T15:23:00Z,310,TOWER-007-01,CDR-DUMP-007
CDR-007-0021,+919818007451,9820456712,VOICE_IN,2024-10-10T17:00:00Z,25,TOWER-007-01,CDR-DUMP-007
CDR-007-0022,+919811007881,9820456712,VOICE_IN,2024-10-10T21:42:00Z,210,TOWER-007-01,CDR-DUMP-007
CDR-007-0023,9820456712,9820456712,VOICE_OUT,2024-10-10T23:07:00Z,110,TOWER-007-01,CDR-DUMP-007
CDR-007-0024,VK-JIO-OTP,9820456712,SMS_IN,2024-10-11T03:35:00Z,0,TOWER-007-01,CDR-DUMP-007
CDR-007-0025,9820456712,9807027004,VOICE_OUT,2024-10-11T13:09:00Z,45,TOWER-007-01,CDR-DUMP-007
CDR-007-0026,+919818007451,9820456712,VOICE_IN,2024-10-11T13:52:00Z,60,TOWER-007-01,CDR-DUMP-007
