call_id,source_phone,target_phone,type,timestamp,duration_seconds,cell_tower,source_record_id
CDR-002-0001,9802017001,+919810902711,VOICE_OUT,2024-10-10T09:59:00Z,25,TOWER-002-01,CDR-DUMP-002
CDR-002-0002,+919811002881,9802017001,VOICE_IN,2024-10-10T10:45:00Z,140,TOWER-002-01,CDR-DUMP-002
CDR-002-0003,9802017001,+919910002221,VOICE_OUT,2024-10-10T11:12:00Z,140,TOWER-002-01,CDR-DUMP-002
CDR-002-0004,9802017001,9802027003,VOICE_OUT,2024-10-10T12:00:00Z,18,TOWER-002-01,CDR-DUMP-002
CDR-002-0005,9802027003,9802017001,VOICE_IN,2024-10-10T15:58:00Z,240,TOWER-002-01,CDR-DUMP-002
CDR-002-0006,VK-JIO-OTP,9802017001,SMS_IN,2024-10-10T19:02:00Z,0,TOWER-002-01,CDR-DUMP-002
CDR-002-0007,+919818002451,9802017001,VOICE_IN,2024-10-10T19:35:00Z,140,TOWER-002-01,CDR-DUMP-002
CDR-002-0008,+919810902711,9802017001,VOICE_IN,2024-10-11T10:05:00Z,210,TOWER-002-01,CDR-DUMP-002
CDR-002-0009,9802027003,9802017001,MISSED,2024-10-11T10:11:00Z,0,TOWER-002-01,CDR-DUMP-002
CDR-002-0010,+919811002881,9802017001,VOICE_IN,2024-10-11T10:14:00Z,25,TOWER-002-01,CDR-DUMP-002
CDR-002-0011,+919818002451,9802017001,VOICE_IN,2024-10-11T11:43:00Z,60,TOWER-002-01,CDR-DUMP-002
CDR-002-0012,9802017001,9802027003,VOICE_OUT,2024-10-11T14:22:00Z,310,TOWER-002-01,CDR-DUMP-002
CDR-002-0013,+919910002221,9802017001,VOICE_IN,2024-10-11T17:38:00Z,60,TOWER-002-01,CDR-DUMP-002
CDR-002-0014,VK-JIO-OTP,9802017001,SMS_IN,2024-10-11T23:23:00Z,0,TOWER-002-01,CDR-DUMP-002
CDR-002-0015,9802017001,+919910002221,VOICE_OUT,2024-10-12T09:39:00Z,25,TOWER-002-01,CDR-DUMP-002
CDR-002-0016,9802017001,9802027003,VOICE_OUT,2024-10-12T12:58:00Z,120,TOWER-002-01,CDR-DUMP-002
CDR-002-0017,9802017001,+919818002451,VOICE_OUT,2024-10-12T15:35:00Z,210,TOWER-002-01,CDR-DUMP-002
